# z rho(z) P(z) g(z) n(z) K(z) phi(z)
8.813616000000000524e+21 1.443975209761971316e-26 2.025991781009027941e-11 2.423345583087503406e-09 1.467420086128367815e-02 1.668387883053831160e+08 7.711245295396147461e+12
8.887680000000000000e+21 1.443789245280166589e-26 2.025730860662785599e-11 2.456430452852625921e-09 1.467231102263505046e-02 1.668531142295252681e+08 7.891952792509052734e+12
8.961743999999999476e+21 1.443600781321020106e-26 2.025466433386149676e-11 2.489573299768758696e-09 1.467039578338929888e-02 1.668676358409177363e+08 8.075112856792231445e+12
9.035808000000000000e+21 1.443409814593764417e-26 2.025198494561957614e-11 2.522770507096246114e-09 1.466845511010444851e-02 1.668823535200126767e+08 8.260729648290613281e+12
9.109872000000000524e+21 1.443216342090551409e-26 2.024927039970001136e-11 2.556018485642846104e-09 1.466648897221365169e-02 1.668972676274339259e+08 8.448807059921137695e+12
9.183936000000000000e+21 1.443020361098838039e-26 2.024652065804405117e-11 2.589313674310959334e-09 1.466449734215106125e-02 1.669123785030077994e+08 8.639348719985485352e+12
9.257999999999999476e+21 1.442821869186964150e-26 2.024373568653391713e-11 2.622652540627632367e-09 1.466248019520526545e-02 1.669276864668594003e+08 8.832357994175294922e+12
9.332064000000000000e+21 1.442620864203083443e-26 2.024091545497778506e-11 2.656031581257350085e-09 1.466043750950841648e-02 1.669431918194792867e+08 9.027837987354265625e+12
9.406128000000000524e+21 1.442417344275163480e-26 2.023805993710981739e-11 2.689447322497677760e-09 1.465836926603624260e-02 1.669588948417067528e+08 9.225791546233033203e+12
9.480192000000000000e+21 1.442211307810985398e-26 2.023516911059015022e-11 2.722896320757809029e-09 1.465627544860803773e-02 1.669747957947124541e+08 9.426221261391316406e+12
9.554255999999999476e+21 1.442002753498145052e-26 2.023224295700487715e-11 2.756375163020054507e-09 1.465415604388666838e-02 1.669908949199799299e+08 9.629129469223234375e+12
9.628319999999998951e+21 1.441791680299228500e-26 2.022928146179841114e-11 2.789880467284366164e-09 1.465201104132956428e-02 1.670071924396585524e+08 9.834518254752617188e+12
9.702384000000000524e+21 1.441578087439895770e-26 2.022628461410626152e-11 2.823408882995968199e-09 1.464984043306759819e-02 1.670236885574645102e+08 1.004238945366563477e+13
9.776448000000000000e+21 1.441361974422072170e-26 2.022325240694010275e-11 2.856957091456171738e-09 1.464764421403915405e-02 1.670403834576417804e+08 1.025274465441025195e+13
9.850511999999999476e+21 1.441143341008405131e-26 2.022018483696972507e-11 2.890521806216492071e-09 1.464542238183216827e-02 1.670572773061417043e+08 1.046558520113129297e+13
9.924576000000001049e+21 1.440922187221027579e-26 2.021708190450567017e-11 2.924099773456137071e-09 1.464317493667156335e-02 1.670743702506975830e+08 1.068091219571492969e+13
9.998640000000000524e+21 1.440698513341557082e-26 2.021394361349921829e-11 2.957687772343011979e-09 1.464090188141924098e-02 1.670916624208025634e+08 1.089872650002396875e+13
1.007270400000000000e+22 1.440472319911096993e-26 2.021076997154240110e-11 2.991282615378328217e-09 1.463860322157409070e-02 1.671091539276872277e+08 1.111902873893519727e+13
