# z rho(z) P(z) g(z) n(z) K(z) phi(z) B(z)
5.406671999999999476e+21 1.424930858537501878e-26 1.999271309082238194e-11 1.031041742393610558e-09 1.448066524290781386e-02 2.247351324423993191e+01 1.917957241423879395e+12 8.335839927667599582e-06
5.480736000000000000e+21 1.424852324375895395e-26 1.999161120510531649e-11 1.057225137780743631e-09 1.447986715021612816e-02 2.247433902446433507e+01 1.995288439907452881e+12 8.335839927667599582e-06
5.554800000000000524e+21 1.424771816202710515e-26 1.999048162271308753e-11 1.083649666696935314e-09 1.447904899690137526e-02 2.247518564000338515e+01 2.074567839753784180e+12 8.335839927667599582e-06
5.628864000000000000e+21 1.424689316363857075e-26 1.998932409594724256e-11 1.110311318714904558e-09 1.447821060355627097e-02 2.247605328240906886e+01 2.155813151836967529e+12 8.335839927667599582e-06
5.702927999999999476e+21 1.424604807527713206e-26 1.998813838163377764e-11 1.137206068935475744e-09 1.447735179405057818e-02 2.247694214006053670e+01 2.239041789515597656e+12 8.335839927667599582e-06
5.776992000000000000e+21 1.424518272675329064e-26 1.998692424098568644e-11 1.164329879166910561e-09 1.447647239543154406e-02 2.247785239826992765e+01 2.324270867464719727e+12 8.335839927667599582e-06
5.851056000000000524e+21 1.424429695103966805e-26 1.998568143965261369e-11 1.191678699098069105e-09 1.447557223795987308e-02 2.247878423924789004e+01 2.411517200896679688e+12 8.335839927667599582e-06
5.925120000000000000e+21 1.424339058430639979e-26 1.998440974777053128e-11 1.219248467464891509e-09 1.447465115514570515e-02 2.247973784206895331e+01 2.500797304594687988e+12 8.335839927667599582e-06
5.999183999999999476e+21 1.424246346592113533e-26 1.998310893996173499e-11 1.247035113209695696e-09 1.447370898374860694e-02 2.248071338267412500e+01 2.592127392156560547e+12 8.335839927667599582e-06
6.073248000000000000e+21 1.424151543844904381e-26 1.998177879533483808e-11 1.275034556632794160e-09 1.447274556377758058e-02 2.248171103387331726e+01 2.685523375396604492e+12 8.335839927667599582e-06
6.147312000000000524e+21 1.424054634765280549e-26 1.998041909748480032e-11 1.303242710535962181e-09 1.447176073849106188e-02 2.248273096534775561e+01 2.781000863620321289e+12 8.335839927667599582e-06
6.221376000000000000e+21 1.423955604249262317e-26 1.997902963449287630e-11 1.331655481357278747e-09 1.447075435439691346e-02 2.248377334365226687e+01 2.878575163201869629e+12 8.335839927667599582e-06
