# z rho(z) P(z) g(z) n(z) K(z)
6.874672550708045824e+18 1.150804973897450700e-26 4.747708401515886402e-11 2.978121781197675268e-11 1.146242927047800425e-02 5.901152103506779671e+08
6.954940352087783424e+18 1.150804973226745364e-26 4.747708398748854808e-11 3.012893949582295962e-11 1.146242926379753904e-02 5.901152105799629688e+08
7.036145350096279552e+18 1.150804972540286080e-26 4.747708395916830082e-11 3.048072113294617771e-11 1.146242925696015942e-02 5.901152108146334887e+08
7.118298487322041344e+18 1.150804971837703638e-26 4.747708393018288403e-11 3.083661012681447952e-11 1.146242924996218604e-02 5.901152110548158884e+08
7.201410834117847040e+18 1.150804971118618502e-26 4.747708390051662651e-11 3.119665443437182355e-11 1.146242924279984067e-02 5.901152113006398678e+08
7.285493590092565504e+18 1.150804970382643527e-26 4.747708387015358565e-11 3.156090257250053849e-11 1.146242923546926702e-02 5.901152115522376299e+08
7.370558085620089856e+18 1.150804969629382098e-26 4.747708383907737292e-11 3.192940362455789833e-11 1.146242922796651340e-02 5.901152118097449541e+08
7.456615783366501376e+18 1.150804968858427699e-26 4.747708380727123793e-11 3.230220724699191930e-11 1.146242922028753268e-02 5.901152120733007193e+08
7.543678279834443776e+18 1.150804968069365206e-26 4.747708377471803607e-11 3.267936367603149332e-11 1.146242921242818756e-02 5.901152123430467844e+08
7.631757306925853696e+18 1.150804967261769162e-26 4.747708374140022204e-11 3.306092373445609226e-11 1.146242920438424184e-02 5.901152126191288233e+08
7.720864733522863104e+18 1.150804966435204210e-26 4.747708370729983054e-11 3.344693883844420303e-11 1.146242919615135872e-02 5.901152129016954899e+08
7.811012567087218688e+18 1.150804965589224946e-26 4.747708367239849555e-11 3.383746100450199275e-11 1.146242918772510250e-02 5.901152131908988953e+08
7.902212955278074880e+18 1.150804964723375064e-26 4.747708363667739227e-11 3.423254285647155121e-11 1.146242917910092821e-02 5.901152134868953228e+08
7.994478187589297152e+18 1.150804963837188211e-26 4.747708360011726936e-11 3.463223763262365448e-11 1.146242917027419025e-02 5.901152137898440361e+08
8.087820697005249536e+18 1.150804962930186269e-26 4.747708356269841664e-11 3.503659919283057109e-11 1.146242916124012683e-02 5.901152140999084711e+08
8.182253061676246016e+18 1.150804962001880788e-26 4.747708352440067160e-11 3.544568202582406782e-11 1.146242915199387202e-02 5.901152144172557592e+08
8.277788006613544960e+18 1.150804961051771121e-26 4.747708348520338057e-11 3.585954125653814341e-11 1.146242914253044025e-02 5.901152147420568466e+08
8.374438405403812864e+18 1.150804960079345428e-26 4.747708344508542459e-11 3.627823265353591491e-11 1.146242913284473142e-02 5.901152150744869709e+08
8.472217281944276992e+18 1.150804959084079243e-26 4.747708340402518065e-11 3.670181263652639530e-11 1.146242912293152401e-02 5.901152154147250652e+08
8.571137812197466112e+18 1.150804958065436045e-26 4.747708336200050227e-11 3.713033828396585681e-11 1.146242911278547334e-02 5.901152157629549503e+08
8.671213325966767104e+18 1.150804957022866831e-26 4.747708331898874539e-11 3.756386734074958312e-11 1.146242910240111157e-02 5.901152161193640232e+08
8.772457308692658176e+18 1.150804955955809682e-26 4.747708327496672310e-11 3.800245822599289886e-11 1.146242909177284074e-02 5.901152164841444492e+08
8.874883403269970944e+18 1.150804954863689477e-26 4.747708322991071213e-11 3.844617004090379649e-11 1.146242908089493279e-02 5.901152168574926853e+08
8.978505411886022656e+18 1.150804953745917467e-26 4.747708318379642049e-11 3.889506257674540273e-11 1.146242906976152262e-02 5.901152172396104336e+08
9.083337297880934400e+18 1.150804952601891123e-26 4.747708313659899400e-11 3.934919632289488258e-11 1.146242905836661156e-02 5.901152176307032108e+08
9.189393187628931072e+18 1.150804951430993712e-26 4.747708308829298394e-11 3.980863247499318464e-11 1.146242904670405523e-02 5.901152180309821367e+08
9.296687372441987072e+18 1.150804950232594441e-26 4.747708303885236641e-11 4.027343294319150835e-11 1.146242903476756871e-02 5.901152184406627417e+08
9.405234310495692800e+18 1.150804949006046872e-26 4.747708298825048424e-11 4.074366036049417011e-11 1.146242902255071618e-02 5.901152188599659204e+08
9.515048628777226240e+18 1.150804947750689935e-26 4.747708293646005339e-11 4.121937809119704105e-11 1.146242901004691263e-02 5.901152192891178131e+08
9.626145125056831488e+18 1.150804946465847346e-26 4.747708288345317591e-11 4.170065023942792190e-11 1.146242899724942040e-02 5.901152197283496857e+08
9.738538769881561088e+18 1.150804945150826178e-26 4.747708282920125589e-11 4.218754165778332965e-11 1.146242898415133875e-02 5.901152201778981686e+08
9.852244708592666624e+18 1.150804943804917575e-26 4.747708277367507060e-11 4.268011795606785460e-11 1.146242897074560736e-02 5.901152206380058527e+08
9.967278263366477824e+18 1.150804942427396325e-26 4.747708271684467997e-11 4.317844551013495683e-11 1.146242895702500285e-02 5.901152211089204550e+08
1.008365493527918592e+19 1.150804941017519565e-26 4.747708265867945249e-11 4.368259147083164505e-11 1.146242894298212661e-02 5.901152215908958912e+08
1.020139040639532442e+19 1.150804939574527642e-26 4.747708259914803282e-11 4.419262377304566112e-11 1.146242892860941005e-02 5.901152220841921568e+08
1.032050054188146893e+19 1.150804938097642681e-26 4.747708253821834834e-11 4.470861114486182013e-11 1.146242891389910763e-02 5.901152225890747309e+08
1.044100139214376960e+19 1.150804936586068296e-26 4.747708247585752508e-11 4.523062311682175452e-11 1.146242889884328646e-02 5.901152231058162451e+08
1.056290919499088077e+19 1.150804935038990165e-26 4.747708241203197821e-11 4.575873003129355690e-11 1.146242888343383497e-02 5.901152236346949339e+08
1.068624037782212813e+19 1.150804933455574020e-26 4.747708234670728280e-11 4.629300305195092091e-11 1.146242886766244383e-02 5.901152241759960651e+08
1.081101155984080077e+19 1.150804931834966508e-26 4.747708227984824490e-11 4.683351417336073323e-11 1.146242885152061290e-02 5.901152247300113440e+08
1.093723955429414707e+19 1.150804930176294186e-26 4.747708221141881107e-11 4.738033623068687790e-11 1.146242883499964255e-02 5.901152252970392704e+08
1.106494137073866752e+19 1.150804928478662809e-26 4.747708214138210716e-11 4.793354290950311879e-11 1.146242881809062669e-02 5.901152258773856163e+08
1.119413421733227315e+19 1.150804926741157176e-26 4.747708206970037364e-11 4.849320875572269196e-11 1.146242880078444937e-02 5.901152264713631868e+08
1.132483550315313971e+19 1.150804924962840853e-26 4.747708199633496569e-11 4.905940918564338666e-11 1.146242878307178296e-02 5.901152270792922974e+08
1.145706284054571418e+19 1.150804923142755594e-26 4.747708192124635312e-11 4.963222049611025407e-11 1.146242876494308130e-02 5.901152277015001774e+08
1.159083404749365658e+19 1.150804921279919763e-26 4.747708184439406223e-11 5.021171987479510999e-11 1.146242874638857094e-02 5.901152283383227587e+08
1.172616715002141286e+19 1.150804919373329485e-26 4.747708176573663707e-11 5.079798541059981093e-11 1.146242872739824947e-02 5.901152289901030064e+08
1.186308038462290534e+19 1.150804917421957205e-26 4.747708168523171693e-11 5.139109610417737758e-11 1.146242870796188376e-02 5.901152296571923494e+08
1.200159220071903437e+19 1.150804915424750977e-26 4.747708160283588776e-11 5.199113187857735692e-11 1.146242868806899434e-02 5.901152303399503231e+08
1.214172126314388890e+19 1.150804913380634173e-26 4.747708151850474030e-11 5.259817359001627603e-11 1.146242866770886062e-02 5.901152310387449265e+08
1.228348645465949184e+19 1.150804911288505054e-26 4.747708143219281839e-11 5.321230303877100329e-11 1.146242864687050528e-02 5.901152317539528608e+08
1.242690687850088038e+19 1.150804909147235766e-26 4.747708134385359312e-11 5.383360298020398029e-11 1.146242862554269770e-02 5.901152324859597683e+08
1.257200186094993818e+19 1.150804906955672194e-26 4.747708125343944344e-11 5.446215713591272463e-11 1.146242860371394015e-02 5.901152332351601124e+08
1.271879095393975910e+19 1.150804904712633105e-26 4.747708116090164972e-11 5.509805020501179160e-11 1.146242858137246773e-02 5.901152340019575357e+08
1.286729393768940954e+19 1.150804902416909140e-26 4.747708106619031615e-11 5.574136787554621869e-11 1.146242855850623625e-02 5.901152347867658138e+08
1.301753082336896819e+19 1.150804900067263245e-26 4.747708096925439018e-11 5.639219683603630447e-11 1.146242853510292224e-02 5.901152355900075436e+08
1.316952185579671757e+19 1.150804897662428666e-26 4.747708087004163665e-11 5.705062478716147012e-11 1.146242851114990906e-02 5.901152364121159315e+08
1.332328751616672768e+19 1.150804895201109229e-26 4.747708076849856671e-11 5.771674045357602392e-11 1.146242848663428689e-02 5.901152372535340786e+08
1.347884852480890061e+19 1.150804892681977913e-26 4.747708066457043778e-11 5.839063359586516527e-11 1.146242846154283887e-02 5.901152381147154570e+08
1.363622584398107238e+19 1.150804890103677274e-26 4.747708055820124718e-11 5.907239502264029742e-11 1.146242843586204110e-02 5.901152389961245060e+08
1.379544068069383578e+19 1.150804887464817152e-26 4.747708044933364154e-11 5.976211660277567833e-11 1.146242840957805049e-02 5.901152398982359171e+08
1.395651448956780749e+19 1.150804884763975531e-26 4.747708033790895567e-11 6.045989127778578265e-11 1.146242838267670129e-02 5.901152408215363026e+08
1.411946897572535910e+19 1.150804881999696103e-26 4.747708022386710266e-11 6.116581307435206032e-11 1.146242835514348947e-02 5.901152417665232420e+08
1.428432609771499930e+19 1.150804879170489122e-26 4.747708010714663202e-11 6.187997711699088450e-11 1.146242832696357621e-02 5.901152427337061167e+08
1.445110807047044301e+19 1.150804876274829688e-26 4.747707998768463281e-11 6.260247964087182671e-11 1.146242829812177226e-02 5.901152437236062288e+08
1.461983736830427341e+19 1.150804873311156743e-26 4.747707986541670125e-11 6.333341800478609106e-11 1.146242826860252931e-02 5.901152447367571592e+08
1.479053672793592013e+19 1.150804870277872923e-26 4.747707974027692139e-11 6.407289070426292338e-11 1.146242823838993646e-02 5.901152457737051249e+08
1.496322915155621478e+19 1.150804867173342837e-26 4.747707961219784569e-11 6.482099738484512330e-11 1.146242820746770641e-02 5.901152468350089788e+08
1.513793790992652083e+19 1.150804863995893646e-26 4.747707948111045628e-11 6.557783885551395298e-11 1.146242817581917539e-02 5.901152479212408066e+08
1.531468654551464550e+19 1.150804860743812042e-26 4.747707934694406152e-11 6.634351710227354950e-11 1.146242814342727893e-02 5.901152490329861641e+08
1.549349887566726144e+19 1.150804857415345548e-26 4.747707920962637358e-11 6.711813530189307020e-11 1.146242811027456225e-02 5.901152501708441973e+08
1.567439899581946266e+19 1.150804854008699638e-26 4.747707906908335334e-11 6.790179783581059072e-11 1.146242807634315075e-02 5.901152513354283571e+08
1.585741128274120294e+19 1.150804850522038179e-26 4.747707892523923622e-11 6.869461030419558893e-11 1.146242804161475524e-02 5.901152525273662806e+08
1.604256039782288179e+19 1.150804846953481985e-26 4.747707877801651281e-11 6.949667954018180237e-11 1.146242800607065807e-02 5.901152537473006248e+08
1.622987129039801549e+19 1.150804843301107104e-26 4.747707862733579962e-11 7.030811362426066195e-11 1.146242796969169746e-02 5.901152549958888292e+08
1.641936920110536909e+19 1.150804839562944955e-26 4.747707847311589725e-11 7.112902189884522846e-11 1.146242793245826584e-02 5.901152562738040686e+08
1.661107966529033011e+19 1.150804835736980897e-26 4.747707831527366758e-11 7.195951498300450223e-11 1.146242789435029420e-02 5.901152575817348957e+08
1.680502851644531302e+19 1.150804831821152075e-26 4.747707815372402733e-11 7.279970478736667167e-11 1.146242785534723821e-02 5.901152589203866720e+08
1.700124188969171558e+19 1.150804827813348138e-26 4.747707798837988989e-11 7.364970452920202791e-11 1.146242781542807648e-02 5.901152602904808521e+08
1.719974622530114150e+19 1.150804823711408369e-26 4.747707781915215239e-11 7.450962874767683450e-11 1.146242777457128978e-02 5.901152616927556992e+08
1.740056827225844326e+19 1.150804819513122260e-26 4.747707764594956649e-11 7.537959331928707004e-11 1.146242773275485752e-02 5.901152631279674768e+08
1.760373509186621850e+19 1.150804815216226495e-26 4.747707746867880939e-11 7.625971547347288396e-11 1.146242768995623870e-02 5.901152645968893766e+08
1.780927406139152589e+19 1.150804810818404811e-26 4.747707728724429005e-11 7.715011380841522593e-11 1.146242764615236151e-02 5.901152661003135443e+08
1.801721287775447245e+19 1.150804806317286848e-26 4.747707710154822021e-11 7.805090830701426108e-11 1.146242760131961635e-02 5.901152676390502453e+08
1.822757956126132838e+19 1.150804801710446427e-26 4.747707691149051747e-11 7.896222035305992381e-11 1.146242755543383680e-02 5.901152692139289379e+08
1.844040245937972838e+19 1.150804796995400259e-26 4.747707671696872775e-11 7.988417274758597643e-11 1.146242750847029090e-02 5.901152708257985115e+08
1.865571025055873843e+19 1.150804792169606795e-26 4.747707651787799300e-11 8.081688972541709817e-11 1.146242746040366037e-02 5.901152724755276442e+08
1.887353194809350144e+19 1.150804787230464510e-26 4.747707631411100591e-11 8.176049697191005137e-11 1.146242741120803710e-02 5.901152741640058756e+08
1.909389690403422618e+19 1.150804782175311609e-26 4.747707610555792595e-11 8.271512163988622380e-11 1.146242736085690585e-02 5.901152758921431303e+08
1.931683481314240102e+19 1.150804777001422872e-26 4.747707589210632764e-11 8.368089236676920822e-11 1.146242730932312166e-02 5.901152776608710289e+08
1.954237571689160294e+19 1.150804771706009371e-26 4.747707567364117471e-11 8.465793929191514098e-11 1.146242725657890989e-02 5.901152794711430073e+08
1.977055000751583642e+19 1.150804766286217175e-26 4.747707545004471025e-11 8.564639407414929288e-11 1.146242720259584014e-02 5.901152813239346743e+08
2.000138843210494771e+19 1.150804760739124336e-26 4.747707522119637914e-11 8.664638990950614647e-11 1.146242714734481069e-02 5.901152832202448845e+08
2.023492209674806886e+19 1.150804755061741034e-26 4.747707498697284101e-11 8.765806154917779366e-11 1.146242709079604155e-02 5.901152851610958576e+08
2.047118247072456704e+19 1.150804749251007140e-26 4.747707474724786679e-11 8.868154531766802982e-11 1.146242703291905363e-02 5.901152871475335360e+08
2.071020139074560000e+19 1.150804743303790201e-26 4.747707450189220306e-11 8.971697913116557322e-11 1.146242697368264445e-02 5.901152891806287766e+08
2.095201106524355789e+19 1.150804737216884871e-26 4.747707425077361723e-11 9.076450251612445449e-11 1.146242691305488989e-02 5.901152912614775896e+08
2.119664407871236915e+19 1.150804730987009754e-26 4.747707399375673604e-11 9.182425662806550875e-11 1.146242685100310431e-02 5.901152933912014961e+08
2.144413339609855590e+19 1.150804724610806971e-26 4.747707373070303258e-11 9.289638427059659254e-11 1.146242678749384396e-02 5.901152955709484816e+08
2.169451236724262502e+19 1.150804718084839578e-26 4.747707346147070353e-11 9.398102991465134431e-11 1.146242672249287407e-02 5.901152978018935919e+08
2.194781473137410048e+19 1.150804711405589846e-26 4.747707318591463040e-11 9.507833971796073176e-11 1.146242665596515671e-02 5.901153000852392912e+08
2.220407462165728051e+19 1.150804704569457536e-26 4.747707290388627610e-11 9.618846154474333664e-11 1.146242658787483340e-02 5.901153024222162962e+08
2.246332656979093914e+19 1.150804697572757891e-26 4.747707261523362681e-11 9.731154498562978343e-11 1.146242651818520086e-02 5.901153048140844107e+08
2.272560551066176717e+19 1.150804690411719200e-26 4.747707231980108856e-11 9.844774137782013568e-11 1.146242644685869366e-02 5.901153072621328831e+08
2.299094678705117184e+19 1.150804683082481646e-26 4.747707201742941617e-11 9.959720382547188184e-11 1.146242637385686512e-02 5.901153097676812410e+08
2.325938615439894118e+19 1.150804675581094580e-26 4.747707170795562274e-11 1.007600872203344468e-10 1.146242629914036651e-02 5.901153123320802450e+08
