# z rho(z) P(z) g(z) n(z) K(z) phi(z) B(z)
4.814159999999999476e+21 1.450518992728104774e-26 2.035173137043718909e-11 8.307309190880924645e-10 1.474070116197340706e-02 2.220843139121151211e+01 1.367220361909369385e+12 2.148504918418746091e-06
4.888224000000000000e+21 1.450454464614935658e-26 2.035082599875185690e-11 8.548430006439648031e-10 1.474004540383612102e-02 2.220909006180224665e+01 1.429638841278355957e+12 2.148504918418746091e-06
4.962288000000000524e+21 1.450388082840245405e-26 2.034989461898146868e-11 8.792276350245333327e-10 1.473937080811678520e-02 2.220976770460436001e+01 1.493853274712800537e+12 2.148504918418746091e-06
5.036352000000000000e+21 1.450319826944609940e-26 2.034893694406691274e-11 9.038809705975878078e-10 1.473867716689929511e-02 2.221046453283395650e+01 1.559883706115277588e+12 2.148504918418746091e-06
5.110415999999999476e+21 1.450249676766780982e-26 2.034795269113267583e-11 9.287991316668237245e-10 1.473796427529772482e-02 2.221118075685200566e+01 1.627749893155044434e+12 2.148504918418746091e-06
5.184480000000000000e+21 1.450177612456188873e-26 2.034694158166225708e-11 9.539782196809622065e-10 1.473723193158336595e-02 2.221191658404006475e+01 1.697471305674412598e+12 2.148504918418746091e-06
5.258544000000000524e+21 1.450103614476557451e-26 2.034590334154891367e-11 9.794143144411322960e-10 1.473647993722148122e-02 2.221267221876661679e+01 1.769067123879834717e+12 2.148504918418746091e-06
5.332608000000000000e+21 1.450027663605905201e-26 2.034483770109566399e-11 1.005103475305934243e-09 1.473570809687131319e-02 2.221344786239024316e+01 1.842556236954973145e+12 2.148504918418746091e-06
5.406671999999999476e+21 1.449949740936545250e-26 2.034374439501526506e-11 1.031041742393610558e-09 1.473491621838606859e-02 2.221424371326276415e+01 1.917957241423380127e+12 2.148504918418746091e-06
5.480736000000000000e+21 1.449869827875084227e-26 2.034262316243024159e-11 1.057225137780743631e-09 1.473410411281293221e-02 2.221505996673230854e+01 1.995288439908085449e+12 2.148504918418746091e-06
