# z rho(z) P(z) g(z) n(z) K(z)
2.436485435658591846e+19 5.511234110387712060e-27 7.578965182951530928e-13 3.518299835437082204e-12 5.489386352703949992e-03 3.213543140320781246e+07
2.464933529378186854e+19 5.511234069988803056e-27 7.578965127395566732e-13 3.559379021602845125e-12 5.489386312465191486e-03 3.213543156024903059e+07
2.493713779417878938e+19 5.511234028640922714e-27 7.578965070534590823e-13 3.600937841884620850e-12 5.489386271281222925e-03 3.213543172097915784e+07
2.522830063992569446e+19 5.511233986321782273e-27 7.578965012337954505e-13 3.642981896385644592e-12 5.489386229129845050e-03 3.213543188548481837e+07
2.552286306598703514e+19 5.511233943008567786e-27 7.578964952774281056e-13 3.685516850593699222e-12 5.489386185988333854e-03 3.213543205385472253e+07
2.582086476542992384e+19 5.511233898677930079e-27 7.578964891811463710e-13 3.728548436144510083e-12 5.489386141833432764e-03 3.213543222617961094e+07
2.612234589477202330e+19 5.511233853305969681e-27 7.578964829416636377e-13 3.772082451593903954e-12 5.489386096641337039e-03 3.213543240255240351e+07
2.642734707939403366e+19 5.511233806868230368e-27 7.578964765556163542e-13 3.816124763199280661e-12 5.489386050387686823e-03 3.213543258306816593e+07
2.673590941901321011e+19 5.511233759339674772e-27 7.578964700195618053e-13 3.860681305709905799e-12 5.489386003047545468e-03 3.213543276782422140e+07
2.704807449322187162e+19 5.511233710694685094e-27 7.578964633299769004e-13 3.905758083166583551e-12 5.489385954595395190e-03 3.213543295692014694e+07
2.736388436709036442e+19 5.511233660907035125e-27 7.578964564832551441e-13 3.951361169710628015e-12 5.489385905005114523e-03 3.213543315045790002e+07
2.768338159683565978e+19 5.511233609949885940e-27 7.578964494757056266e-13 3.997496710402313993e-12 5.489385854249970512e-03 3.213543334854181483e+07
2.800660923555504128e+19 5.511233557795768684e-27 7.578964423035509032e-13 4.044170922048712725e-12 5.489385802302603964e-03 3.213543355127865821e+07
2.833361083902893261e+19 5.511233504416567343e-27 7.578964349629244701e-13 4.091390094041529721e-12 5.489385749135009505e-03 3.213543375877773762e+07
2.866443047158928589e+19 5.511233449783506557e-27 7.578964274498692494e-13 4.139160589204384085e-12 5.489385694718526901e-03 3.213543397115088999e+07
2.899911271205757747e+19 5.511233393867137265e-27 7.578964197603352672e-13 4.187488844650143255e-12 5.489385639023821976e-03 3.213543418851261958e+07
