# z rho(z) P(z) g(z) n(z) K(z) phi(z)
6.443568000000000524e+21 5.607658001133635718e-25 2.331233008803276853e-09 6.981215737652040446e-09 5.628351464913395885e-01 4.400821785423137248e+07 2.257360607448276172e+13
6.517632000000000000e+21 5.606956641242927987e-25 2.330941437290189009e-09 7.060279445706142430e-09 5.627647516853885312e-01 4.401188769479931891e+07 2.309359097040533203e+13
6.591695999999999476e+21 5.606247474243592056e-25 2.330646620181643743e-09 7.139303036483959043e-09 5.626935732875837370e-01 4.401559916377332807e+07 2.361943015787480078e+13
6.665760000000000000e+21 5.605530507150102102e-25 2.330348560393719069e-09 7.218286073570628892e-09 5.626216120019610356e-01 4.401935225053580850e+07 2.415112064950635938e+13
6.739824000000000524e+21 5.604805747050060904e-25 2.330047260872896433e-09 7.297228121199948251e-09 5.625488685398962740e-01 4.402314694435687363e+07 2.468865942554742578e+13
6.813888000000000000e+21 5.604073201104214542e-25 2.329742724596062789e-09 7.376128744261040617e-09 5.624753436201064272e-01 4.402698323439343274e+07 2.523204343397298047e+13
6.887951999999999476e+21 5.603332876546439540e-25 2.329434954570508115e-09 7.454987508305008068e-09 5.624010379686487093e-01 4.403086110968849063e+07 2.578126959064627344e+13
6.962016000000000000e+21 5.602584780683749289e-25 2.329123953833925824e-09 7.533803979551566081e-09 5.623259523189207965e-01 4.403478055917028338e+07 2.633633477931876172e+13
7.036080000000000524e+21 5.601828920896292216e-25 2.328809725454414834e-09 7.612577724895647742e-09 5.622500874116610481e-01 4.403874157165147364e+07 2.689723585163013281e+13
7.110144000000000000e+21 5.601065304637355458e-25 2.328492272530479156e-09 7.691308311913996371e-09 5.621734439949486184e-01 4.404274413582827896e+07 2.746396962710829297e+13
7.184207999999999476e+21 5.600293939433359344e-25 2.328171598191024996e-09 7.769995308871733342e-09 5.620960228242029011e-01 4.404678824027966708e+07 2.803653289319984375e+13
7.258272000000000000e+21 5.599514832883860161e-25 2.327847705595364066e-09 7.848638284728917621e-09 5.620178246621838625e-01 4.405087387346652150e+07 2.861492240555121875e+13
7.332336000000000524e+21 5.598727992661549225e-25 2.327520597933210686e-09 7.927236809147047411e-09 5.619388502789921525e-01 4.405500102373074740e+07 2.919913488774486719e+13
7.406400000000000000e+21 5.597933426512254727e-25 2.327190278424685096e-09 8.005790452495586598e-09 5.618591004520688825e-01 4.405916967929439992e+07 2.978916703157348047e+13
7.480463999999999476e+21 5.597131142254941727e-25 2.326856750320311801e-09 8.084298785858441583e-09 5.617785759661959588e-01 4.406337982825882733e+07 3.038501549712124219e+13
7.554528000000000000e+21 5.596321147781706645e-25 2.326520016901017913e-09 8.162761381040428180e-09 5.616972776134954159e-01 4.406763145860380679e+07 3.098667691276378125e+13
7.628592000000000524e+21 5.595503451057109618e-25 2.326180081477854396e-09 8.241177810573697147e-09 5.616152061933622486e-01 4.407192455819015950e+07 3.159414787516817969e+13
7.702656000000000000e+21 5.594678060108780648e-25 2.325836947388093427e-09 8.319547647724168008e-09 5.615323625115219430e-01 4.407625911480814964e+07 3.220742494929298828e+13
7.776719999999999476e+21 5.593844983042100421e-25 2.325490618001328021e-09 8.397870466497918187e-09 5.614487473815035212e-01 4.408063511609957367e+07 3.282650466845454297e+13
7.850784000000000000e+21 5.593004228035950165e-25 2.325141096717708489e-09 8.476145841647547339e-09 5.613643616242133261e-01 4.408505254957909882e+07 3.345138353460960938e+13
7.924848000000000524e+21 5.592155803339164039e-25 2.324788386966466743e-09 8.554373348678544989e-09 5.612792060675788619e-01 4.408951140265200287e+07 3.408205801804585156e+13
7.998912000000000000e+21 5.591299717270532811e-25 2.324432492205914642e-09 8.632552563855605223e-09 5.611932815465489055e-01 4.409401166261319816e+07 3.471852455773073047e+13
8.072975999999999476e+21 5.590435978218802022e-25 2.324073415923448959e-09 8.710683064208934773e-09 5.611065889030936171e-01 4.409855331664638221e+07 3.536077956136299219e+13
8.147040000000000000e+21 5.589564594642670143e-25 2.323711161635545172e-09 8.788764427540532967e-09 5.610191289862044295e-01 4.410313635182303190e+07 3.600881940537266406e+13
8.221104000000000524e+21 5.588685575070794092e-25 2.323345732887763670e-09 8.866796232430456802e-09 5.609309026518941588e-01 4.410776075510150194e+07 3.666264043492102344e+13
8.295168000000000000e+21 5.587798928101783721e-25 2.322977133254744791e-09 8.944778058243028098e-09 5.608419107631968936e-01 4.411242651332604885e+07 3.732223896390060156e+13
8.369231999999999476e+21 5.586904662404202734e-25 2.322605366340211302e-09 9.022709485133088646e-09 5.607521541901679951e-01 4.411713361322587729e+07 3.798761127501439844e+13
8.443296000000000000e+21 5.586002786716573279e-25 2.322230435776968400e-09 9.100590094052151120e-09 5.606616338098842078e-01 4.412188204141420126e+07 3.865875362008342188e+13
8.517360000000000524e+21 5.585093309847368601e-25 2.321852345226901643e-09 9.178419466754571496e-09 5.605703505064434378e-01 4.412667178438720107e+07 3.933566221969367188e+13
8.591424000000000000e+21 5.584176240675019473e-25 2.321471098380980673e-09 9.256197185803688392e-09 5.604783051709651964e-01 4.413150282852309197e+07 4.001833326358592188e+13
8.665487999999999476e+21 5.583251588147910517e-25 2.321086698959255082e-09 9.333922834577945854e-09 5.603854987015899347e-01 4.413637516008111089e+07 4.070676291070901562e+13
8.739552000000000000e+21 5.582319361284382049e-25 2.320699150710857716e-09 9.411595997276963211e-09 5.602919320034798201e-01 4.414128876520048827e+07 4.140094728921990625e+13
8.813616000000000524e+21 5.581379569172729151e-25 2.320308457414003024e-09 9.489216258927614848e-09 5.601976059888179593e-01 4.414624362989947945e+07 4.210088249648360156e+13
8.887680000000000000e+21 5.580432220964926559e-25 2.319914622873377304e-09 9.566783205390060359e-09 5.601025215761791243e-01 4.415123974010741711e+07 4.280656459907317969e+13
8.961743999999999476e+21 5.579477325878262414e-25 2.319517650920821537e-09 9.644296423363774687e-09 5.600066796906936206e-01 4.415627708165509999e+07 4.351798963282567188e+13
9.035808000000000000e+21 5.578514893205796487e-25 2.319117545419675330e-09 9.721755500393513756e-09 5.599100812650967818e-01 4.416135564021859318e+07 4.423515360322236719e+13
9.109872000000000524e+21 5.577544932307111427e-25 2.318714310260932178e-09 9.799160024875298292e-09 5.598127272388006004e-01 4.416647540136700124e+07 4.495805248497899219e+13
9.183936000000000000e+21 5.576567452608223684e-25 2.318307949363205550e-09 9.876509586062338093e-09 5.597146185578851796e-01 4.417163635056185722e+07 4.568668222243995312e+13
9.257999999999999476e+21 5.575582463601582584e-25 2.317898466672727236e-09 9.953803774070966220e-09 5.596157561750985110e-01 4.417683847315611690e+07 4.642103872967182812e+13
9.332064000000000000e+21 5.574589974846074926e-25 2.317485866163345275e-09 1.003104217988650371e-08 5.595161410498564747e-01 4.418208175439309329e+07 4.716111789046340625e+13
9.406128000000000524e+21 5.573589995967019470e-25 2.317070151836528511e-09 1.010822439536911601e-08 5.594157741482430612e-01 4.418736617940539867e+07 4.790691555832563281e+13
9.480192000000000000e+21 5.572582536656171528e-25 2.316651327721362866e-09 1.018535001325968101e-08 5.593146564430102607e-01 4.419269173321390152e+07 4.865842755649163281e+13
9.554255999999999476e+21 5.571567606671721131e-25 2.316229397874554234e-09 1.026241862718556275e-08 5.592127889135779517e-01 4.419805840072663873e+07 4.941564967792990625e+13
9.628319999999998951e+21 5.570545215838289350e-25 2.315804366380423937e-09 1.033942983166640994e-08 5.591101725460339011e-01 4.420346616673773527e+07 5.017857768576899219e+13
9.702384000000000524e+21 5.569515374046936564e-25 2.315376237350914510e-09 1.041638322211991816e-08 5.590068083331339865e-01 4.420891501592632383e+07 5.094720731295029688e+13
9.776448000000000000e+21 5.568478091255153280e-25 2.314945014925584327e-09 1.049327839486752906e-08 5.589026972743018629e-01 4.421440493285545707e+07 5.172153426247318750e+13
9.850511999999999476e+21 5.567433377486867472e-25 2.314510703271612976e-09 1.057011494714017103e-08 5.587978403756294066e-01 4.421993590197096020e+07 5.250155420761085938e+13
9.924576000000001049e+21 5.566381242832439997e-25 2.314073306583795886e-09 1.064689247708389894e-08 5.586922386498762716e-01 4.422550790760038793e+07 5.328726279191023438e+13
9.998640000000000524e+21 5.565321697448669180e-25 2.313632829084548457e-09 1.072361058376557518e-08 5.585858931164702224e-01 4.423112093395183235e+07 5.407865562919193750e+13
1.007270400000000000e+22 5.564254751553837215e-25 2.313189275021848040e-09 1.080026886717845312e-08 5.584788048010104200e-01 4.423677496513903886e+07 5.487572830355036719e+13
1.014676799999999948e+22 5.563180415425138762e-25 2.312742648668161081e-09 1.087686692824780365e-08 5.583709747350088515e-01 4.424246998519398272e+07 5.567847636935367969e+13
1.022083199999999895e+22 5.562098699413220351e-25 2.312292954326490226e-09 1.095340436883645390e-08 5.582624039573496066e-01 4.424820597798867524e+07 5.648689535149817188e+13
1.029489600000000052e+22 5.561009613931757048e-25 2.311840196326041133e-09 1.102988079175035426e-08 5.581530935132431592e-01 4.425398292728919536e+07 5.730098074553815625e+13
1.036896000000000000e+22 5.559913169457049300e-25 2.311384379022053732e-09 1.110629580074403769e-08 5.580430444541855106e-01 4.425980081675674021e+07 5.812072801739739844e+13
1.044302399999999948e+22 5.558809376528020178e-25 2.310925506795802219e-09 1.118264900052616518e-08 5.579322578379580788e-01 4.426565962994650006e+07 5.894613260385392969e+13
1.051708800000000105e+22 5.557698245746217216e-25 2.310463584054595060e-09 1.125893999676493385e-08 5.578207347286278095e-01 4.427155935030645877e+07 5.977718991254857812e+13
1.059115200000000052e+22 5.556579787775808733e-25 2.309998615231772924e-09 1.133516839609350820e-08 5.577084761965468429e-01 4.427749996117632091e+07 6.061389532198485938e+13
1.066521600000000000e+22 5.555454013343589349e-25 2.309530604786712815e-09 1.141133380611542661e-08 5.575954833183530690e-01 4.428348144578626007e+07 6.145624418152916406e+13
1.073927999999999948e+22 5.554320933238973553e-25 2.309059557204822697e-09 1.148743583540998126e-08 5.574817571769694613e-01 4.428950378725580871e+07 6.230423181141062500e+13
1.081334399999999895e+22 5.553180558314003051e-25 2.308585476997548113e-09 1.156347409353752371e-08 5.573672988616048540e-01 4.429556696859265119e+07 6.315785350277121094e+13
1.088740800000000052e+22 5.552032899483340337e-25 2.308108368702365979e-09 1.163944819104480352e-08 5.572521094677531650e-01 4.430167097269146144e+07 6.401710451818519531e+13
1.096147200000000000e+22 5.550877967724270528e-25 2.307628236882787480e-09 1.171535773947023075e-08 5.571361900971938397e-01 4.430781578233265877e+07 6.488198009110382031e+13
1.103553599999999948e+22 5.549715774076705043e-25 2.307145086128358898e-09 1.179120235134914678e-08 5.570195418579918512e-01 4.431400138018125296e+07 6.575247542630496875e+13
1.110960000000000105e+22 5.548546329643174248e-25 2.306658921054658302e-09 1.186698164021904215e-08 5.569021658644974782e-01 4.432022774878561497e+07 6.662858570005575781e+13
1.118366400000000052e+22 5.547369645588834810e-25 2.306169746303300097e-09 1.194269522062473636e-08 5.567840632373465271e-01 4.432649487057622522e+07 6.751030606011238281e+13
1.125772800000000000e+22 5.546185733134426830e-25 2.305677566539003912e-09 1.201834270812355273e-08 5.566652351027535639e-01 4.433280272790203243e+07 6.839763162572032812e+13
1.133179199999999948e+22 5.544994603558457691e-25 2.305182386450506979e-09 1.209392371929045850e-08 5.565456825927315165e-01 4.433915130301754177e+07 6.929055748761423438e+13
1.140585599999999895e+22 5.543796268207923851e-25 2.304684210755017670e-09 1.216943787172317514e-08 5.564254068461672587e-01 4.434554057802453637e+07 7.018907870801794531e+13
1.147992000000000052e+22 5.542590738488461489e-25 2.304183044194122615e-09 1.224488478404722744e-08 5.563044090078332893e-01 4.435197053492324054e+07 7.109319032088954688e+13
1.155398400000000000e+22 5.541378025864271197e-25 2.303678891533754847e-09 1.232026407592100923e-08 5.561826902283802943e-01 4.435844115561154485e+07 7.200288733218650000e+13
1.162804799999999948e+22 5.540158141858125330e-25 2.303171757564197116e-09 1.239557536804080594e-08 5.560602516643375903e-01 4.436495242188370973e+07 7.291816471938890625e+13
1.170211200000000105e+22 5.538931098051361572e-25 2.302661647100078994e-09 1.247081828214575939e-08 5.559370944781126811e-01 4.437150431542918086e+07 7.383901743210560938e+13
1.177617600000000052e+22 5.537696906083884781e-25 2.302148564980377284e-09 1.254599244102282923e-08 5.558132198379914790e-01 4.437809681783132255e+07 7.476544039209814062e+13
1.185024000000000000e+22 5.536455577654165143e-25 2.301632516068417682e-09 1.262109746851174272e-08 5.556886289181379723e-01 4.438472991056616604e+07 7.569742849328081250e+13
1.192430399999999948e+22 5.535207124519246446e-25 2.301113505251873527e-09 1.269613298950983713e-08 5.555633228985951133e-01 4.439140357500112057e+07 7.663497660172065625e+13
1.199836799999999895e+22 5.533951558494731379e-25 2.300591537442765396e-09 1.277109862997698802e-08 5.554373029652834859e-01 4.439811779239378124e+07 7.757807955563740625e+13
1.207243200000000052e+22 5.532688891454798068e-25 2.300066617577462338e-09 1.284599401694037879e-08 5.553105703100026380e-01 4.440487254389055818e+07 7.852673216540434375e+13
1.214649600000000000e+22 5.531419135332187213e-25 2.299538750616680638e-09 1.292081877849935457e-08 5.551831261304300824e-01 4.441166781052546948e+07 7.948092921405395312e+13
1.222055999999999948e+22 5.530142302118208523e-25 2.299007941545485469e-09 1.299557254383015702e-08 5.550549716301218517e-01 4.441850357321879268e+07 8.044066545701762500e+13
